date,username,review,rating,platform,developerResponse,language
2024-11-09,邱美純,結帳系統不好用，搜尋也不聰明,3,Android,,zh
2024-11-08,Naive TreePo,結帳下單的loading速度太慢,2,Android,,zh
2024-11-08,wendy Hu,能夠清楚並且事前計畫要買的貨物,4,Android,,zh
2024-11-08,Paolañañaaa,速度很慢 要運送宅配很多資訊要不斷重寫,2,iOS,,zh
2024-11-08,Chun YANG,"app不好用,要結帳時網頁一直跑出來，無法結帳",3,Android,,zh
2024-11-08,sandy si,app很難找貨，無法下單,1,Android,,zh
2024-11-06,wtrace Chen,第一次有購物app爛到我特地登入給負評的。包含付款、更改貨運方式、所選商品輪流出問題，到底是尛！,1,iOS,,zh
2024-11-05,Remi Chen,使用起来卡卡的,3,Android,,zh
2024-11-05,黃oa,本人家裡寢室物件都在貴公司高雄店購買，非常適合喜愛！,5,Android,,zh
2024-11-05,劉景雄,讚,4,Android,,zh
2024-11-05,YenBo Wang (C),app使用體驗太差了，一是應用程式的速度太慢，二是已在商品目錄選加入購物車，但切換到購物車卻顯示沒有任何物品被添加，還需要回商品目錄重新再選一次。,1,Android,,zh
2024-11-03,Hsin-Che Wu,沒看過這裡爛的app 購買過程中一直跳出，購物車動不動就變動，付款也跳掉是怎樣,1,Android,,zh
2024-11-03,Kevin Pang,不太好,3,Android,,zh
2024-11-03,陳薇方,跳出app之後結帳畫面會不見,2,Android,,zh
2024-11-03,Wan Chung Chu,不穩定,3,Android,,zh
2024-11-03,鴨小妹,"商品包裝完整！ 出貨快速！
品質優良！
顏色又漂亮！
實用又美觀！
推薦大家購買！",5,iOS,,zh
2024-11-01,張國緯,更新後無止境的載入中，怎麼這麼大公司，一個App都做不好？,1,Android,,zh
2024-11-01,CH Lin,究竟開啟 app 後，“載入中” 的畫面要停留多久才能開始使用？,1,Android,,zh
2024-10-30,8730678,超卡超爛 不能登入也不能驗證 一直顯示系統錯誤 明明有帳號還不給登入 還一直當機 到底搞什麼 按鈕都不能按 搞什麼啊,1,iOS,,zh
2024-10-29,Emma Chang,很讚！,5,Android,,zh
2024-10-28,Pei Lum Ma,用過最爛的app 請小學生都寫的比你們好,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-10-27,shiang1201,手機一直收不到驗證碼，然後就一直鬼打牆地不斷地circle,1,iOS,,zh
2024-10-27,Gary4pae,無法收到手機驗證碼,2,iOS,,zh
2024-10-27,張蓓歆,小蠟燭可以放購物車卻不能結帳…… 而且跳轉超級久，所以線上有貨為什麼不能訂？可以放購物為什麼不能買？超難用……,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-10-27,S H,購物車直接罷工,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-10-26,Sam Wang,網站回應非常慢 最後付錢也很有問題,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-10-25,guan lin,超級難用,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-10-24,小DJ,很方便,5,Android,"Hej, 謝謝你的鼓勵，我們會繼續努力。",zh
2024-10-23,陳棉潔,有夠難用,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-10-21,Peyton Liao,購物車商品常常顯示不出來，結帳時居然跳出購物車無商品，挑選跟等待購物車顯示已經夠花時間，最後白忙一場？,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-10-19,到底為什麼要我更新,"到購物車點「下一步結帳」就直接顯示購物車裡面沒有商品？？？
重新整理購物車裡面的東西就又出現
試了五六次了，一樣的狀態
請趕快改善！！",1,iOS,,zh
2024-10-15,加有許,"一進去就卡載入中 
卡三十分鐘都進不去
換網路也一樣",1,iOS,,zh
2024-10-15,MacyUber,打開app各種頁面等待下載的時間實在太長了（至少超過2分半）,1,iOS,,zh
2024-10-12,hwb010,如題，其實使用體驗還OK呀，不懂為何評分那麼低？瀏覽商品很方便，選擇喜歡的商品加入購物車，結合門市取貨相當便利！如果要說可以更好的地方，或許是結帳的等候時間較久吧，如果這點能夠改善，使用者體驗會更棒的！給予五顆星讓評論分數均衡一點😊,5,iOS,,zh
2024-10-10,Ed Li,這是我見過最慢的網路購物，買完送7-11大概要一週以上才會到，沒特別需求真心建議去其他網購買,1,iOS,,zh
2024-10-06,劉富琴,結帳超難用，離開app看載具及地址就當掉得重新操作,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-10-05,妮可蔓蔓,為什麼購物車都沒辦法改數量,1,iOS,,zh
2024-10-04,dunk01255,信用卡扣款成功，但軟件顯示未購買成功？？？,1,iOS,,zh
2024-10-01,蕭妤庭,打不開,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-09-30,張登霖,第一個畫面就卡住，那個「讓我們開始吧」按鈕按下去毫無反應，廢到笑…,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-09-27,陳昱心,看到評分只有1.9分還是下載了，結果一打開app停在語言選擇畫面就直接當掉了，笑死，我下載不到3分鐘欸,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-09-23,海音,按下加入購物車，跳出已加入購物車的提示，但是點選購物車後，卻說購物車沒有任何商品，然後回到商品頁面，再按下一次加入購物車，太棒了，這次購物車有東西了，不過數量是2！！！！好吧，算了進行結帳流程，速度堪比龜爬，慢得要死，只要下一步就是一直讀取，經過了不知多少歲月後，總算來到信用卡結帳的環節，想說終於可以買到東西了，輸入完卡號、有效日期、三碼，然後到了發卡銀行的驗證環節，一切都是那麼的熟悉，那麼的令人雀躍。認證碼簡訊來了，然後跳到簡訊頁面，複製好認證碼，準備回IKEA App複製貼上來完成付款，結果一跳回來畫面全白！！！連我家牆壁都沒這麼白過！！！！！AMAZING ！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-09-23,莊筱蕾,超北七，驗證完手機要登入，顯示手機未驗證，又要再重新驗證一次，還是無法登入，到底是想不想要人家消費？？完全無法進入,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-09-16,rutiriu,"去門市看到某些新品
下載後沒有出現
那還需要app做什麼呢？
是不是變相要客人跑門市一趟更好推銷呢？
所以這app能用但不多 
真的不多，不要下
真的不多，不要下
真的不多，不要下
（很重要 我說三遍",1,iOS,,zh
2024-09-16,蹦蹦蹦跳跳,"拜託不能驗證手機
手機又收不到簡訊
用mail更改密碼又無法登入
不能理解",1,iOS,,zh
2024-09-13,101空降師,這東西有夠難用，在購物車內要結帳一直卡住，無法選擇貨運方式與地址，最終放棄消費,1,iOS,,zh
2024-09-07,杰司陳,"賣商品喜歡一件一件拆開賣！
我查詢一個組合商品卻找不到個部位的選項
然後標一堆尺寸卻不知道到是在標那個部位的尺寸！

直接放棄！",1,iOS,,zh
2024-09-05,肥哞,購物車的刪除鍵是假的嗎？按完一件商品，其他的商品全部消失，返回購物車又全部跑回來，刪都刪不掉,1,iOS,,zh
2024-08-31,Tim Huang,網購最差的一次體驗，訂貨等了7天，拿到瑕疵品，客服電話打10分鐘不通，郵件客訴兩次等2天沒回覆，再打電話客服，接通後說換貨再等7天，7天到了沒來換貨，主動打過去說要延期，這樣的服務體驗，只能祈禱商品不要有問題。,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將會持續提升服務品質，造成不便敬請見諒，謝謝。",zh
2024-08-30,任坊（土方）,不能註冊帳號，沒用,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-08-25,FaT W (少爺),無論什麼方法都驗證不過,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-08-23,LCZ LCZ,使用這個爛App爛到發瘋，購物車一直轉，是不是不讓人家買啦！開發單位真的可以再扯一點…………趕快改進啦 不要再回覆制式留言了啦！快研究怎麼改進吧,1,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-08-20,Ryan Chang,登入時購物車出現沒點過的商品，商品加入購物車反應極慢，有時商品點的時候沒反應，隔很長時間後才突然重複加入，勉強能用但體驗極差,2,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-08-20,Tzu-Yi Chung,IKEA APP可以加入瑞典餐廳的資訊嗎，不然每次想看最近出了什麼新菜色還要自己上IKEA官網找，很麻煩耶，APP應該要有瑞典餐廳的內容才對！,3,Android,"Hej, 謝謝你願意花時間讓我們知道你遇到的問題，我們將請相關單位持續優化APP，謝謝。",zh
2024-08-19,花蓮公道伯,購物車商品無法刪除，更新後還是沒有改善，這個問題出現很久了，希望能早日改善,1,iOS,,zh
